question,canonical,organ_category
Is there pancreatic atrophy?,pancreatic_atrophy,Pancreas
Is chronic pancreatitis suspected based on imaging findings?,chronic_pancreatitis,Pancreas
Is there acute pancreatitis?,acute_pancreatitis,Pancreas
Is there necrotizing pancreatitis?,necrotizing_pancreatitis,Pancreas
Is there autoimmune pancreatitis?,autoimmune_pancreatitis,Pancreas
Is there groove pancreatitis?,groove_pancreatitis,Pancreas
Is there any pancreatic pseudocysts?,pancreatic_pseudocyst,Pancreas
Are there any pancreatic tumors?,pancreatic_tumor,Pancreas
Are there any intraductal papillary mucinous neoplasms (IPMN)?,intraductal_papillary_mucinous_neoplasm,Pancreas
Are there any intraductal papillary mucinous neoplasms with worrisome features?,intraductal_papillary_mucinous_neoplasm,Pancreas
Are there any serous cystic neoplasms?,serous_cystic_neoplasm,Pancreas
Are there any mucinous cystic neoplasms?,mucinous_cystic_neoplasm,Pancreas
Are there any solid pseudopapillary tumors?,solid_pseudopapillary_tumor,Pancreas
Are there any ductal pancreatic carcinomas?,ductal_pancreatic_carcinoma,Pancreas
Are there any neuroendocrine tumors?,neuroendocrine_tumor,Pancreas
Is there main pancreatic duct dilatation?,pancreatic_duct_dilatation,Pancreas
Is there an annular pancreas?,annular_pancreas,Pancreas
Is cystic fibrosis suspected based on the pancreatic imaging findings?,cystic_fibrosis,Pancreas
Is there splenomegaly?,splenomegaly,Spleen
Are there any epithelial cysts?,epithelial_cyst,Spleen
Are there any splenic pseudocysts?,splenic_pseudocyst,Spleen
Are there any splenic hamartomas?,splenic_hamartoma,Spleen
Is splenic lymphoma present?,splenic_lymphoma,Spleen
Are there any splenic abscesses?,splenic_abscess,Spleen
Are there any splenic lacerations?,splenic_laceration,Spleen
Are there any splenic infarcts?,splenic_infarct,Spleen
Is the spleen surgically absent? Are there any post-splenectomy changes?,spleen_absent,Spleen
Are there any accessory spleens?,accessory_spleen,Spleen
Is there any intrahepatic biliary ductal dilation?,intrahepatic_biliary_ductal_dilation,Biliary Tree
is there any extrahepatic biliary ductal dilation?,extrahepatic_biliary_ductal_dilation,Biliary Tree
Are there any intra-hepatic stones?,intra_hepatic_stone,Biliary Tree
Is there ascending cholangitis?,ascending_cholangitis,Biliary Tree
Is there primary sclerosing cholangitis?,primary_sclerosing_cholangitis,Biliary Tree
Is there periductal/intraductal cholangiocarcinoma?,cholangiocarcinoma,Biliary Tree
Are there any biliary cystadenomas?,biliary_cystadenoma,Biliary Tree
Are there any biliary hamartomas?,biliary_hamartoma,Biliary Tree
Is there hepatomegaly?,hepatomegaly,Liver
"Is hepatic steatosis, fatty liver, focal fatty infiltration suspected based on the imaging findings?",hepatic_steatosis,Liver
Is there cirrhosis?,cirrhosis,Liver
Is there cirrhosis with portal hypertension?,cirrhosis_with_portal_hypertension,Liver
Is there cirrhosis with decompensation?,cirrhosis_decompensation,Liver
Are there any esophageal or gastric varices?,esophageal_varices,Liver
Are there any hepatic regenerative nodules?,hepatic_regenerative_nodule,Liver
Are there any dysplastic nodules?,dysplastic_nodule,Liver
Is polycystic liver disease present?,polycystic_liver_disease,Liver
Is there viral hepatitis?,viral_hepatitis,Liver
Are there any hepatic abscesses?,hepatic_abscess,Liver
Is there hemochromatosis?,hemochromatosis,Liver
